,eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,info
0,1666614387697,5125006.9039,1666614387770,True,True,0.00798,-0.0215,0.11694,-0.1041,-0.84344,0.52704,True,-0.04091,-0.41757,0.36443,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.04091,-0.41757,0.36443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,69.86026,232.4769,0.35405,-189.2946,232.6745,0.35465,33.12584,84.4137,0.34802,103.5351,-7.81595,0.29882,False,,,,,,,,,,,,,,,,,,,,
1,1666614387730,5125040.2377,1666614387773,True,True,0.00798,-0.02151,0.1169,-0.11011,-0.84272,0.52698,True,-0.0438,-0.41781,0.36472,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.0438,-0.41781,0.36472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.09442,228.9897,0.35393,-204.0174,229.3643,0.3546,20.00894,80.96254,0.34788,96.41078,-9.56998,0.29868,False,,,,,,,,,,,,,,,,,,,,
2,1666614387763,5125073.5715,1666614387826,True,True,0.00748,-0.02154,0.1169,-0.12041,-0.84324,0.52388,True,-0.04919,-0.41839,0.36345,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.04919,-0.41839,0.36345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.32204,217.8107,0.35282,-230.59,218.4911,0.35359,-3.38851,69.65551,0.34667,83.54785,-15.57441,0.29749,False,,,,,,,,,,,,,,,,,,,,
3,1666614387797,5125106.9052,1666614387863,True,True,0.00353,-0.02139,0.11683,-0.10781,-0.84721,0.52021,True,-0.047,-0.41839,0.3606,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.047,-0.41839,0.3606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41.87396,212.6288,0.35141,-219.5744,213.1433,0.35214,6.80303,63.94345,0.34515,88.82887,-18.92889,0.29597,False,,,,,,,,,,,,,,,,,,,,
4,1666614387830,5125140.239,1666614387863,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1666614387863,5125173.5728,1666614387934,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1666614387897,5125206.9065,1666614387934,True,True,0.00293,-0.02152,0.11681,-0.13706,-0.84511,0.51673,True,-0.06166,-0.41974,0.36029,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.06166,-0.41974,0.36029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-23.75356,186.6408,0.35034,-285.499,187.9954,0.35135,-52.22076,38.37355,0.34386,56.64637,-31.88177,0.29473,False,,,,,,,,,,,,,,,,,,,,
7,1666614387930,5125240.2404,1666614387993,True,True,0.00456,-0.02164,0.11677,-0.17983,-0.83904,0.5135,True,-0.08112,-0.42142,0.36144,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.08112,-0.42142,0.36144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-119.021,163.1494,0.34945,-380.3172,165.7442,0.35085,-137.1464,15.03397,0.34282,10.39186,-43.80851,0.29375,False,,,,,,,,,,,,,,,,,,,,
8,1666614387963,5125273.5741,1666614387994,True,True,0.00401,-0.02163,0.11676,-0.17929,-0.84012,0.51192,True,-0.08133,-0.42151,0.36042,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.08133,-0.42151,0.36042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-119.8363,158.0266,0.34889,-381.6939,160.6428,0.35029,-138.3208,9.811,0.34219,9.63841,-46.589,0.29313,False,,,,,,,,,,,,,,,,,,,,
9,1666614387997,5125306.9078,1666614388039,True,True,0.00522,-0.02169,0.11676,-0.18188,-0.84029,0.51071,True,-0.08133,-0.42155,0.35979,SpatialMesh - 44F94EE60D31BB26-DD8204ABC05F31BC,-0.08133,-0.42155,0.35979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-123.2621,156.8162,0.34799,-385.9589,159.4595,0.3494,-141.9193,8.61489,0.3413,7.47754,-47.62277,0.29223,False,,,,,,,,,,,,,,,,,,,,
